Symbol,Trade DATE,NOCP
LMT,8/9/2021,361.04
LMT,8/10/2021,362.24
LMT,8/11/2021,363.3
LMT,8/12/2021,359.75
LMT,8/13/2021,357.98
LMT,8/16/2021,360.25
LMT,8/17/2021,361.6
LMT,8/18/2021,356.6
LMT,8/19/2021,354.03
LMT,8/20/2021,357.17
LMT,8/23/2021,357.35
LMT,8/24/2021,359
LMT,8/25/2021,358.75
LMT,8/26/2021,361.62
LMT,8/27/2021,361.99
LMT,8/30/2021,362.05
LMT,8/31/2021,359.8
LMT,9/1/2021,356.66
LMT,9/2/2021,358.05
LMT,9/3/2021,356
LMT,9/7/2021,349.2
LMT,9/8/2021,351.46
LMT,9/9/2021,348.93
LMT,9/10/2021,345.88
LMT,9/13/2021,346.31
LMT,9/14/2021,344.34
LMT,9/15/2021,345.07
LMT,9/16/2021,341.5
LMT,9/17/2021,340.98
LMT,9/20/2021,338.46
LMT,9/21/2021,336.05
LMT,9/22/2021,341.73
LMT,9/23/2021,344.2
LMT,9/24/2021,349.52
LMT,9/27/2021,353.36
LMT,9/28/2021,352.15
LMT,9/29/2021,350.29
LMT,9/30/2021,345.1
LMT,10/1/2021,347.8
LMT,10/4/2021,345.99
LMT,10/5/2021,347.75
LMT,10/6/2021,349.99
LMT,10/7/2021,351.78
LMT,10/8/2021,353.75
LMT,10/11/2021,357.08
LMT,10/12/2021,358.12
LMT,10/13/2021,361.76
LMT,10/14/2021,362.07
LMT,10/15/2021,365.62
LMT,10/18/2021,365
LMT,10/19/2021,371.07
LMT,10/20/2021,371.13
LMT,10/21/2021,373.14
LMT,10/22/2021,374.6
LMT,10/25/2021,376.33
LMT,10/26/2021,331.91
LMT,10/27/2021,330.94
LMT,10/28/2021,331.39
LMT,10/29/2021,332.32
LMT,11/1/2021,330.93
LMT,11/2/2021,326.31
LMT,11/3/2021,331.35
LMT,11/4/2021,335.5
LMT,11/5/2021,339.89
LMT,11/8/2021,341.78
LMT,11/9/2021,338.17
LMT,11/10/2021,337.63
LMT,11/11/2021,335.89
LMT,11/12/2021,339.06
LMT,11/15/2021,340.92
LMT,11/16/2021,340.37
LMT,11/17/2021,341.99
LMT,11/18/2021,342.08
LMT,11/19/2021,341.44
LMT,11/22/2021,344.98
LMT,11/23/2021,345.18
LMT,11/24/2021,343.58
LMT,11/26/2021,342.72
LMT,11/29/2021,341.23
LMT,11/30/2021,333.32
LMT,12/1/2021,328.42
LMT,12/2/2021,330.53
LMT,12/3/2021,333.81
LMT,12/6/2021,339.96
LMT,12/7/2021,339.17
LMT,12/8/2021,341.08
LMT,12/9/2021,343.6
LMT,12/10/2021,344.88
LMT,12/13/2021,345.55
LMT,12/14/2021,345.64
LMT,12/15/2021,344.42
LMT,12/16/2021,344.84
LMT,12/17/2021,344.14
LMT,12/20/2021,337.42
LMT,12/21/2021,340.77
LMT,12/22/2021,343.14
LMT,12/23/2021,347.02
LMT,12/27/2021,350.28
LMT,12/28/2021,353.75
LMT,12/29/2021,354.27
LMT,12/30/2021,353.58
LMT,12/31/2021,355.41
LMT,1/3/2022,354.36
LMT,1/4/2022,361.99
LMT,1/5/2022,358.14
LMT,1/6/2022,358
LMT,1/7/2022,360.14
