Symbol,Trade DATE,NOCP
PFE,8/9/2021,45.98
PFE,8/10/2021,48.19
PFE,8/11/2021,46.31
PFE,8/12/2021,47.24
PFE,8/13/2021,48.48
PFE,8/16/2021,48.91
PFE,8/17/2021,50.42
PFE,8/18/2021,49.31
PFE,8/19/2021,48.8
PFE,8/20/2021,48.72
PFE,8/23/2021,49.93
PFE,8/24/2021,48.38
PFE,8/25/2021,47.51
PFE,8/26/2021,47.38
PFE,8/27/2021,46.6
PFE,8/30/2021,46.76
PFE,8/31/2021,46.07
PFE,9/1/2021,46.04
PFE,9/2/2021,46.84
PFE,9/3/2021,46.84
PFE,9/7/2021,46.75
PFE,9/8/2021,46.51
PFE,9/9/2021,46.03
PFE,9/10/2021,45.59
PFE,9/13/2021,44.58
PFE,9/14/2021,44.71
PFE,9/15/2021,44.77
PFE,9/16/2021,44.47
PFE,9/17/2021,43.89
PFE,9/20/2021,44.2
PFE,9/21/2021,43.92
PFE,9/22/2021,43.95
PFE,9/23/2021,44.19
PFE,9/24/2021,43.94
PFE,9/27/2021,43.57
PFE,9/28/2021,43.04
PFE,9/29/2021,43.53
PFE,9/30/2021,43.01
PFE,10/1/2021,42.93
PFE,10/4/2021,42.42
PFE,10/5/2021,42.32
PFE,10/6/2021,42.02
PFE,10/7/2021,42.74
PFE,10/8/2021,42.45
PFE,10/11/2021,42.06
PFE,10/12/2021,41.85
PFE,10/13/2021,41.42
PFE,10/14/2021,41.67
PFE,10/15/2021,41.49
PFE,10/18/2021,41.32
PFE,10/19/2021,42.09
PFE,10/20/2021,42.8
PFE,10/21/2021,42.86
PFE,10/22/2021,43.16
PFE,10/25/2021,43.15
PFE,10/26/2021,43.56
PFE,10/27/2021,42.97
PFE,10/28/2021,43.18
PFE,10/29/2021,43.74
PFE,11/1/2021,43.64
PFE,11/2/2021,45.45
PFE,11/3/2021,44.82
PFE,11/4/2021,43.85
PFE,11/5/2021,48.61
PFE,11/8/2021,48.33
PFE,11/9/2021,47.3
PFE,11/10/2021,49.02
PFE,11/11/2021,50.18
PFE,11/12/2021,49.73
PFE,11/15/2021,49.65
PFE,11/16/2021,49.6
PFE,11/17/2021,50.87
PFE,11/18/2021,51.41
PFE,11/19/2021,50.8
PFE,11/22/2021,51.2
PFE,11/23/2021,51.08
PFE,11/24/2021,50.89
PFE,11/26/2021,54
PFE,11/29/2021,52.4
PFE,11/30/2021,53.73
PFE,12/1/2021,54.68
PFE,12/2/2021,53.04
PFE,12/3/2021,54.27
PFE,12/6/2021,51.48
PFE,12/7/2021,51.72
PFE,12/8/2021,51.4
PFE,12/9/2021,52.08
PFE,12/10/2021,52.78
PFE,12/13/2021,55.2
PFE,12/14/2021,55.54
PFE,12/15/2021,58.8
PFE,12/16/2021,61.25
PFE,12/17/2021,59.48
PFE,12/20/2021,61.02
PFE,12/21/2021,58.95
PFE,12/22/2021,59.55
PFE,12/23/2021,58.71
PFE,12/27/2021,59.2
PFE,12/28/2021,58.01
PFE,12/29/2021,57.58
PFE,12/30/2021,58.4
PFE,12/31/2021,59.05
PFE,1/3/2022,56.65
PFE,1/4/2022,54.53
PFE,1/5/2022,55.63
PFE,1/6/2022,54.84
PFE,1/7/2022,55.72
PFE,1/10/2022,56.24
PFE,1/11/2022,56.69
PFE,1/12/2022,56.65
PFE,1/13/2022,55.54
PFE,1/14/2022,54.95
PFE,1/18/2022,54.11
PFE,1/19/2022,53.54
PFE,1/20/2022,54.05
PFE,1/21/2022,52.79
PFE,1/24/2022,51.54
PFE,1/25/2022,52.54
PFE,1/26/2022,53.01
PFE,1/27/2022,53.37
PFE,1/28/2022,54.33
PFE,1/31/2022,52.69
PFE,2/1/2022,53.07
PFE,2/2/2022,53.86
PFE,2/3/2022,53.38
PFE,2/4/2022,53
PFE,2/7/2022,53.21
PFE,2/8/2022,51.7
PFE,2/9/2022,51.47
PFE,2/10/2022,50.6
PFE,2/11/2022,50.78
PFE,2/14/2022,49.8
PFE,2/15/2022,49.79
PFE,2/16/2022,49.68
PFE,2/17/2022,48.9
PFE,2/18/2022,48.53
PFE,2/22/2022,47.53
PFE,2/23/2022,46.87
PFE,2/24/2022,45.96
PFE,2/25/2022,47.72
PFE,2/28/2022,46.94
PFE,3/1/2022,45.75
PFE,3/2/2022,47.7
PFE,3/3/2022,47.83
PFE,3/4/2022,48.65
PFE,3/7/2022,47.98
PFE,3/8/2022,47.44
PFE,3/9/2022,48.75
PFE,3/10/2022,49.2
PFE,3/11/2022,50.27
PFE,3/14/2022,52.25
PFE,3/15/2022,52.21
PFE,3/16/2022,52.92
PFE,3/17/2022,54.24
PFE,3/18/2022,54.51
PFE,3/21/2022,54.19
PFE,3/22/2022,53.04
PFE,3/23/2022,52.19
PFE,3/24/2022,52.59
PFE,3/25/2022,52.78
PFE,3/28/2022,53.28
PFE,3/29/2022,52.74
PFE,3/30/2022,52.44
PFE,3/31/2022,51.77
PFE,4/1/2022,51.57
PFE,4/4/2022,50.94
PFE,4/5/2022,51.24
PFE,4/6/2022,52.87
PFE,4/7/2022,55.16
PFE,4/8/2022,55.17
PFE,4/11/2022,53.93
PFE,4/12/2022,53.11
PFE,4/13/2022,53.1
PFE,4/14/2022,53.12
PFE,4/18/2022,51.84
PFE,4/19/2022,50.18
PFE,4/20/2022,49.75
PFE,4/21/2022,49.11
PFE,4/22/2022,48.13
PFE,4/25/2022,48.95
PFE,4/26/2022,49.03
PFE,4/27/2022,49.74
PFE,4/28/2022,50.51
PFE,4/29/2022,49.07
PFE,5/2/2022,48.34
PFE,5/3/2022,49.29
PFE,5/4/2022,49.66
PFE,5/5/2022,48.45
PFE,5/6/2022,49.04
PFE,5/9/2022,48.64
PFE,5/10/2022,49.49
PFE,5/11/2022,49.45
PFE,5/12/2022,50.39
PFE,5/13/2022,49.92
PFE,5/16/2022,50.67
PFE,5/17/2022,51.34
PFE,5/18/2022,50.4
PFE,5/19/2022,50.65
PFE,5/20/2022,52.47
PFE,5/23/2022,52.88
PFE,5/24/2022,53.41
PFE,5/25/2022,53.71
PFE,5/26/2022,53.99
PFE,5/27/2022,53.91
PFE,5/31/2022,53.04
PFE,6/1/2022,52.37
PFE,6/2/2022,52.68
PFE,6/3/2022,53.2
PFE,6/6/2022,53.26
PFE,6/7/2022,53.96
PFE,6/8/2022,53.47
PFE,6/9/2022,51.78
PFE,6/10/2022,49.97
PFE,6/13/2022,47.91
PFE,6/14/2022,47.92
PFE,6/15/2022,48.51
PFE,6/16/2022,47.48
PFE,6/17/2022,46.53
PFE,6/21/2022,48.11
PFE,6/22/2022,49.07
PFE,6/23/2022,50.09
PFE,6/24/2022,51.59
PFE,6/27/2022,51.88
PFE,6/28/2022,50.66
PFE,6/29/2022,50.94
PFE,6/30/2022,52.43
PFE,7/1/2022,52.31
PFE,7/5/2022,51.64
PFE,7/6/2022,52.75
PFE,7/7/2022,53.42
PFE,7/8/2022,53.17
PFE,7/11/2022,52.89
PFE,7/12/2022,52.04
PFE,7/13/2022,51.79
PFE,7/14/2022,51.39
PFE,7/15/2022,51.75
PFE,7/18/2022,50.75
PFE,7/19/2022,51.37
PFE,7/20/2022,50.82
PFE,7/21/2022,51.12
PFE,7/22/2022,51.23
PFE,7/25/2022,51.77
PFE,7/26/2022,52.3
PFE,7/27/2022,51.95
PFE,7/28/2022,50.72
PFE,7/29/2022,50.51
PFE,8/1/2022,50.61
PFE,8/2/2022,49.69
PFE,8/3/2022,49.86
PFE,8/4/2022,49.86
PFE,8/5/2022,49.27
